id,name,sort,job_category_l_id
0101,営業職,1,01
0102,医療関連営業職,2,01
0103,金融関連営業職,3,01
0201,マーケティング／企画／広告宣伝,4,02
0202,購買／物流／貿易,5,02
0203,エグゼクティブ／経営企画／事業統括,6,02
0204,経理／財務／税務,7,02
0205,総務／人事／法務／知財／広報・IR／内部監査,8,02
0301,経理／財務,9,03
0302,総務／法務／知財／広報,10,03
0303,人事／採用／教育／労務,11,03
0304,購買／物流／貿易,12,03
0305,経営企画／事業統括,13,03
0306,マーケティング／商品企画／広告宣伝,14,03
0307,金融事務,15,03
0308,英文事務,16,03
0309,医療事務,17,03
0310,秘書／受付,18,03
0311,翻訳／通訳,19,03
0313,その他,20,03
0401,ITコンサルタント,21,04
0402,プリセールス,22,04
0403,アプリケーションエンジニア,23,04
0404,インフラエンジニア,24,04
0405,サポート・ヘルプデスク,25,04
0407,社内情報システム,26,04
0408,研究開発・R＆D,27,04
0409,品質管理,28,04
0501,基礎研究／製品企画,29,05
0502,機械設計／金型設計,30,05
0503,品質管理／品質保証,41,05
0504,生産／製造／工場運営／プロセスエンジニア,42,05
0505,技術営業／FAE／アプリケーションエンジニア／プロジェクトマネージャー,43,05
0506,整備士／サービスエンジニア,44,05
0507,その他,45,05
0509,CADオペレーター（機械）,31,05
0510,光学設計,32,05
0511,CAE解析,33,05
0512,回路設計（アナログ）,34,05
0513,回路設計（デジタル）,35,05
0514,回路設計（半導体）,36,05
0515,レイアウト設計（配線設計含む）,37,05
0516,シーケンス制御（PLC／シーケンス／ラダー）,38,05
0517,組み込みソフトウェア開発,39,05
0518,評価・実験・デバッグ,40,05
0601,技術開発／部材開発／解析／調査,46,06
0602,設計・デザイン／積算／測量,47,06
0603,施工管理,48,06
0610,その他,53,06
0611,設計監理・施工監理／コンストラクションマネジメント,49,06
0612,プラント関連職種,50,06
0613,設備保守・設備メンテナンス,51,06
0614,職人・現場作業員,52,06
0701,研究,54,07
0702,開発,55,07
0704,生産／製造／工場運営,57,07
0706,品質管理／品質保証,58,07
0708,技術営業／アプリケーションエンジニア,59,07
0710,その他,60,07
0712,分析／評価,56,07
0801,研究,61,08
0802,臨床開発関連,62,08
0803,製品・商品開発,63,08
0804,分析／評価,64,08
0805,薬事,65,08
0807,品質管理／品質保証,66,08
0808,技術サポート,67,08
0809,生産／製造,68,08
0810,学術・マーケティング関連,69,08
0811,ライセンシング,70,08
0812,医療関連職種,71,08
0813,薬剤関連職種,72,08
0814,福祉関連職種,73,08
0901,開発,74,09
0902,運用,75,09
0903,投資銀行系業務,76,09
0904,リサーチ,77,09
0905,審査／査定,78,09
0906,バックオフィス,79,09
1001,コンサルタント,80,10
1002,マーケティング,81,10
1004,不動産,82,10
1005,士業系専門職種,83,10
1101,店舗・販売系職種,84,11
1102,店舗・施設管理／店舗開発,86,11
1103,美容関連職種（理美容・エステ・マッサージ）,87,11
1104,旅行関連職種,88,11
1105,宿泊・ホテル／冠婚葬祭関連職種,89,11
1107,運輸・物流サービス,90,11
1108,警備／清掃／監視／保守,91,11
1109,テレマーケティング／カスタマーサポート,92,11
1110,教育／スクール,93,11
1111,バイヤー／MD,85,11
1201,出版・広告・販促,95,12
1203,映像・音響・イベント・芸能関連,96,12
1207,ファッション,98,12
1209,プロダクトデザイナー,97,12
1210,その他クリエイティブ系職種,99,12
1211,Web／モバイル／ゲーム,94,12
1301,国家・地方公務員,100,13
1303,教員,101,13
1304,農林水産関連職,102,13
