id,name,area_id,sort
1,北海道,2,1
2,青森県,2,2
3,岩手県,2,3
4,宮城県,2,4
5,秋田県,2,5
6,山形県,2,6
7,福島県,2,7
8,茨城県,3,8
9,栃木県,3,9
10,群馬県,3,10
11,埼玉県,3,11
12,千葉県,3,12
13,東京都,3,13
14,神奈川県,3,14
15,新潟県,5,15
16,富山県,5,16
17,石川県,5,17
18,福井県,5,18
19,山梨県,3,19
20,長野県,5,20
21,岐阜県,4,21
22,静岡県,4,22
23,愛知県,4,23
24,三重県,4,24
25,滋賀県,6,25
26,京都府,6,26
27,大阪府,6,27
28,兵庫県,6,28
29,奈良県,6,29
30,和歌山県,6,30
31,鳥取県,7,31
32,島根県,7,32
33,岡山県,7,33
34,広島県,7,34
35,山口県,7,35
36,徳島県,7,36
37,香川県,7,37
38,愛媛県,7,38
39,高知県,7,39
40,福岡県,8,40
41,佐賀県,8,41
42,長崎県,8,42
43,熊本県,8,43
44,大分県,8,44
45,宮崎県,8,45
46,鹿児島県,8,46
47,沖縄県,8,47
99,海外,99,48
